Date,Open,High,Low,Close,Adj Close,Volume,Monthly Return,Monthly Risk Free Return,Equity Premium
10/1/1990,26.799999,29.129999,26.799999,28.450001,6.657319,0,-0.031419534,0.006122883,-0.037542417
11/1/1990,28.18,28.540001,27.360001,27.57,6.451401,0,-0.035817533,0.006098036,-0.041915569
12/1/1990,27.59,28.65,26.120001,26.6,6.224417,0,0.0360449,0.006015206,0.030029694
1/1/1991,26.48,26.76,24.940001,26.76,6.452868,0,0.08073211,0.005509793,0.075222317
2/1/1991,26.879999,29.09,26.879999,29.01,6.995428,0,-0.054910246,0.005294294,-0.06020454
3/1/1991,28.67,29.389999,27.309999,27.459999,6.621663,0,0.019921325,0.005169946,0.014751379
4/1/1991,27.799999,28.92,27.43,27.860001,6.754898,0,0.007509376,0.004921204,0.002588172
5/1/1991,27.860001,28.08,27.450001,28.07,6.805814,0,-0.065512379,0.004722166,-0.070234545
6/1/1991,27.870001,27.889999,26.290001,26.290001,6.37424,0,0.048868751,0.004747048,0.044121703
7/1/1991,26.469999,27.360001,25.98,27.33,6.693478,0,-0.000365796,0.004747048,-0.005112844
8/1/1991,27.35,27.51,25.42,27.32,6.69103,0,0.025656417,0.004738754,0.020917663
9/1/1991,27.450001,28.129999,27.450001,28.030001,6.864919,0,0.010351171,0.004564566,0.005786605
10/1/1991,28.1,28.27,27.459999,28.1,6.936348,0,-0.035497931,0.004373755,-0.039871686
11/1/1991,28.209999,28.540001,27.120001,27.120001,6.694441,0,0.024044756,0.004124815,0.019919941
12/1/1991,27.049999,27.780001,26.52,27.780001,6.857358,0,0.020717047,0.003718079,0.016998968
1/1/1992,27.77,28.18,27.32,27.6,7.000904,0,-0.006908203,0.003294567,-0.01020277
2/1/1992,27.639999,28.030001,26.940001,27.41,6.952707,0,-0.052042037,0.003277955,-0.055319992
3/1/1992,27.41,27.41,25.92,26.02,6.600128,0,0.019527705,0.003352707,0.016174998
4/1/1992,25.65,26.309999,25.450001,26.299999,6.73028,0,0.050056273,0.003452367,0.046603906
5/1/1992,26.41,27.65,26.41,27.65,7.075747,0,-0.021938227,0.003153356,-0.025091583
6/1/1992,27.67,27.67,26.74,27.049999,6.922208,0,-0.02760646,0.003153356,-0.030759816
7/1/1992,27.059999,27.389999,25.73,26.07,6.733724,0,0.015226702,0.00303705,0.012189652
8/1/1992,26.139999,26.469999,25.190001,26.469999,6.837041,0,-0.036549519,0.002704672,-0.039254191
9/1/1992,26.379999,26.68,25.4,25.52,6.591662,0,-0.028047811,0.002688051,-0.030735862
10/1/1992,25.43,25.43,24.629999,24.629999,6.409349,0,-0.009791674,0.002289045,-0.012080719
11/1/1992,24.469999,24.639999,23.940001,24.389999,6.346897,0,0.002047723,0.002521818,-0.000474095
12/1/1992,24.299999,25.02,24.299999,24.440001,6.359907,0,0.018185941,0.002812707,0.015373234
1/1/1993,24.26,24.809999,24.15,24.610001,6.476626,0,0.022101997,0.002621561,0.019480436
2/1/1993,24.5,25.34,24.450001,25.16,6.621366,0,0.064638278,0.002463629,0.062174649
3/1/1993,25.280001,26.84,25.280001,26.84,7.063495,0,0.074476419,0.002505193,0.071971226
4/1/1993,27.120001,28.860001,27.120001,28.860001,7.609644,0,0.021933628,0.002455317,0.019478311
5/1/1993,28.879999,29.5,28.43,29.5,7.778395,0,-0.032733103,0.002471942,-0.035205045
6/1/1993,29.389999,29.549999,27.93,28.549999,7.527906,0,0.028967019,0.002604938,0.026362081
7/1/1993,28.610001,29.18,28.129999,29.18,7.749156,0,0.05077921,0.002580002,0.048199208
8/1/1993,29.25,30.76,29.25,30.700001,8.152814,0,-0.013115117,0.002580002,-0.015695119
9/1/1993,30.65,30.879999,30,30.299999,8.046587,0,0.027409578,0.002563378,0.0248462
10/1/1993,30.309999,31.32,30.309999,31.040001,8.270191,0,-0.054962308,0.002480255,-0.057442563
11/1/1993,30.870001,31.049999,29.08,29.379999,7.827908,0,0.054962308,0.002580002,0.052382306
12/1/1993,29.92,31.65,29.92,31.040001,8.270191,0,0.08556392,0.002671429,0.082892491
1/1/1994,31.139999,33.32,31.139999,33.32,9.008977,0,-0.010863237,0.002555066,-0.013418303
2/1/1994,33.650002,33.650002,32.52,32.959999,8.91164,0,-0.033315431,0.002538442,-0.035853873
3/1/1994,32.98,32.98,31.879999,31.879999,8.619636,0,0.031215634,0.002887494,0.02832814
4/1/1994,31.59,32.849998,31.59,32.849998,8.892947,0,-0.004882388,0.002962275,-0.007844663
5/1/1994,32.720001,32.98,32.150002,32.689999,8.849634,0,0.003359349,0.003302873,5.6476E-05
6/1/1994,32.73,33.009998,32.220001,32.799999,8.879413,0,0.023452658,0.003585232,0.019867426
7/1/1994,32.599998,33.77,32.599998,33.330002,9.09012,0,0.022546036,0.003543714,0.019002322
8/1/1994,33.66,34.25,33.66,34.09,9.297394,0,-0.032799277,0.003651658,-0.036450935
9/1/1994,34.130001,34.279999,32.990002,32.990002,8.997393,0,0.026067802,0.003892415,0.022175387
10/1/1994,32.709999,33.630001,32.549999,33.619999,9.235019,0,-0.050322981,0.003992021,-0.054315002
11/1/1994,33.68,33.68,31.85,31.969999,8.781785,0,-0.015445624,0.004323971,-0.019769595
12/1/1994,31.940001,31.940001,31.01,31.48,8.647187,0,-0.01419902,0.004755342,-0.018954362
1/1/1995,31.26,31.26,29.6,30.379999,8.525273,0,-0.000328841,0.004722166,-0.005051007
2/1/1995,30.290001,30.75,30.110001,30.370001,8.52247,0,0.030801334,0.004987542,0.025813792
3/1/1995,30.33,31.32,30.26,31.32,8.789058,0,0.046099777,0.004937789,0.041161988
4/1/1995,31.059999,33.119999,31.059999,32.59,9.203716,0,0.000920183,0.004888034,-0.003967851
5/1/1995,32.650002,33.41,31.799999,32.619999,9.212189,0,-0.019189836,0.004879741,-0.024069577
6/1/1995,33.259998,33.259998,31.92,32,9.037094,0,0.064039107,0.004829983,0.059209124
7/1/1995,32.110001,33.75,32.110001,33.75,9.634754,0,-0.033748296,0.004655812,-0.038404108
8/1/1995,33.619999,33.73,32.5,32.630001,9.315023,0,0.001836847,0.004655812,-0.002818965
9/1/1995,32.700001,32.950001,32.34,32.689999,9.332149,0,-0.009877765,0.004531384,-0.014409149
10/1/1995,32.41,32.630001,31.83,32.119999,9.240422,0,0.0105296,0.004489905,0.006039695
11/1/1995,31.940001,32.459999,31.780001,32.459999,9.338234,0,-0.042479265,0.004556271,-0.047035536
12/1/1995,32.689999,33.049999,30.52,31.110001,8.94986,0,0.099043434,0.004556271,0.094487163
1/1/1996,31.190001,31.809999,31.190001,31.709999,9.881668,0,0.003777339,0.004240994,-0.000463655
2/1/1996,31.809999,32.09,31.700001,31.83,9.919065,0,0.009069685,0.004199503,0.004870182
3/1/1996,31.92,32.119999,31.02,32.119999,10.009437,0,0.031767178,0.004174608,0.02759257
4/1/1996,32.189999,33.080002,32,32.959999,10.332513,0,-0.012210206,0.004265888,-0.016476094
5/1/1996,32.799999,32.830002,32.060001,32.560001,10.207118,0,-0.00894643,0.004274186,-0.013220616
6/1/1996,32.419998,32.630001,32.099998,32.27,10.116208,0,-0.016235941,0.004307377,-0.020543318
7/1/1996,32.330002,32.330002,30.870001,31.35,9.953288,0,0.012048248,0.004307377,0.007740871
8/1/1996,31.6,32.099998,31.49,31.73,10.073933,0,0.011281838,0.004423535,0.006858303
9/1/1996,31.5,32.110001,31.5,32.09,10.188229,0,0.005018584,0.004398645,0.000619939
10/1/1996,32.110001,32.529999,32.029999,32.080002,10.239488,0,0.046292746,0.004274186,0.04201856
11/1/1996,32.040001,33.84,32.040001,33.599998,10.724645,0,-0.198886081,0.004299079,-0.20318516
12/1/1996,33.470001,33.470001,26.870001,27.540001,8.790383,0,0.174418301,0.004265888,0.170152413
1/1/1997,27.23,27.4,26.59,26.969999,10.465421,0,0.016912065,0.004332269,0.012579796
2/1/1997,26.889999,27.709999,26.860001,27.43,10.643918,0,-0.010997103,0.004282484,-0.015279587
3/1/1997,27.280001,28,26.67,27.129999,10.527507,0,0.012287336,0.004340566,0.00794677
4/1/1997,26.639999,26.84,26.01,26.76,10.65766,0,0.056659806,0.004448424,0.052211382
5/1/1997,26.969999,29.17,26.969999,28.32,11.278956,0,0.062948231,0.004390348,0.058557883
6/1/1997,28.469999,30.440001,28.469999,30.16,12.011769,0,-0.000995103,0.004124815,-0.005119918
7/1/1997,30.309999,30.76,29.92,30.129999,11.999822,0,-0.065490288,0.004365458,-0.069855746
8/1/1997,29.76,29.76,28.219999,28.219999,11.239131,0,0.039943096,0.004365458,0.035577638
9/1/1997,28.23,29.370001,28.23,29.370001,11.697143,0,-0.06397162,0.00435716,-0.06832878
10/1/1997,29.48,29.58,26.65,27.549999,10.97229,0,-0.033588963,0.004207801,-0.037796764
11/1/1997,27.860001,28.02,26.27,26.639999,10.609863,0,-0.162695202,0.004332269,-0.167027471
12/1/1997,26.809999,26.860001,22.049999,22.639999,9.016794,0,0.192343229,0.004340566,0.188002663
1/1/1998,22.629999,24.34,21.190001,24.34,10.929134,0,0.051642355,0.004456721,0.047185634
2/1/1998,24.799999,25.629999,24.610001,25.629999,11.508368,0,0.028463597,0.004315674,0.024147923
3/1/1998,26.24,27.16,25.360001,26.370001,11.840644,0,0.01823162,0.004423535,0.013808085
4/1/1998,26.280001,26.959999,25.85,26.43,12.058498,0,-0.00227293,0.004290781,-0.006563711
5/1/1998,26.52,27.09,26.17,26.370001,12.031121,0,-0.007231146,0.00415801,-0.011389156
6/1/1998,26.219999,26.700001,24.879999,26.18,11.944436,0,-0.017338113,0.004182906,-0.021521019
7/1/1998,26.57,27.610001,25.73,25.73,11.739127,0,-0.144417041,0.004240994,-0.148658035
8/1/1998,25.23,25.23,22.139999,22.27,10.160528,0,-0.009021304,0.004240994,-0.013262298
9/1/1998,22.43,23.709999,21.74,22.07,10.069279,0,0.121852813,0.004124815,0.117727998
10/1/1998,21.52,24.93,21.07,24.93,11.374135,0,0.056913203,0.003635052,0.053278151
11/1/1998,25.620001,26.799999,24.83,26.389999,12.040249,0,-0.050516077,0.003601839,-0.054117916
12/1/1998,25.92,26.43,25.02,25.09,11.44713,0,0.028461907,0.0038011,0.024660807
1/1/1999,25.43,25.959999,23.98,24.32,11.777618,0,-0.011996064,0.003726382,-0.015722446
2/1/1999,24.51,24.58,23.790001,24.030001,11.637177,0,0.05898305,0.003726382,0.055256668
3/1/1999,23.74,25.780001,23.65,25.49,12.34422,0,0.07374327,0.003875813,0.069867457
4/1/1999,25.59,27.549999,25.43,27.43,13.288928,0,-0.029223546,0.003734684,-0.03295823
5/1/1999,27.48,28.280001,26.639999,26.639999,12.906198,0,0.049790666,0.003784496,0.04600617
6/1/1999,26.93,28.32,26.93,28,13.565073,0,0.027128703,0.003875813,0.02325289
7/1/1999,28.33,28.91,28.110001,28.77,13.938113,0,-0.002435718,0.003975421,-0.006411139
8/1/1999,28.66,29.41,28.18,28.700001,13.904205,0,-0.010156475,0.00395052,-0.014106995
9/1/1999,29.129999,29.43,27.889999,28.41,13.763702,0,0.016754528,0.004141413,0.012613115
10/1/1999,28.51,28.889999,27.91,28.889999,13.996249,0,-0.002425875,0.00405842,-0.006484295
11/1/1999,28.879999,29.42,28.65,28.82,13.962337,0,0.01035584,0.00425759,0.00609825
12/1/1999,28.99,29.68,28.299999,29.120001,14.10768,0,-0.033547955,0.004406942,-0.037954897
1/1/2000,29.4,29.4,26.85,26.85,13.642247,0,-0.051587366,0.004431832,-0.056019198
2/1/2000,26.68,27.139999,25.5,25.5,12.956324,0,0.065640734,0.004788517,0.060852217
3/1/2000,25.93,27.23,25.559999,27.23,13.83532,0,-0.001276318,0.004805104,-0.006081422
4/1/2000,27.16,27.629999,26.780001,26.969999,13.817673,0,0.005546165,0.004888034,0.000658131
5/1/2000,27.07,27.5,26.83,27.120001,13.894521,0,0.065298757,0.004838277,0.06046048
6/1/2000,27.389999,28.950001,27.389999,28.950001,14.832094,0,-0.033008771,0.004680695,-0.037689466
7/1/2000,29.200001,29.26,27.99,28.01,14.350497,0,-0.018739139,0.004888034,-0.023627173
8/1/2000,28.09,28.17,27.49,27.49,14.084085,0,-0.049590899,0.005211397,-0.054802296
9/1/2000,27.799999,27.799999,25.75,26.16,13.402678,0,-0.001912939,0.005244557,-0.007157496
10/1/2000,26.23,26.5,25.059999,26.110001,13.377064,0,-0.020507702,0.005178236,-0.025685938
11/1/2000,26.559999,26.93,25.35,25.58,13.105525,0,0.017439247,0.005302583,0.012136664
12/1/2000,25.91,26.52,25.690001,26.030001,13.33608,0,0.055922763,0.005161656,0.050761107
1/1/2001,26.040001,27.4,26.040001,26.790001,14.103118,0,-0.064364589,0.004896327,-0.069260916
2/1/2001,26.84,26.84,25.120001,25.120001,13.223973,0,-0.095150868,0.004149711,-0.099300579
3/1/2001,25.120001,25.27,21.620001,22.84,12.023709,0,0.076320148,0.004033521,0.072286627
4/1/2001,22.610001,24.639999,22.35,24.639999,12.977286,0,-0.013483277,0.003576928,-0.017060205
5/1/2001,24.91,25.23,24.309999,24.309999,12.803484,0,-0.033887267,0.003286261,-0.037173528
6/1/2001,24.299999,24.58,23.32,23.5,12.376878,0,-0.008546968,0.003020434,-0.011567402
7/1/2001,23.75,23.75,22.73,23.299999,12.271544,0,-0.016443405,0.00303705,-0.019480455
8/1/2001,23.58,23.790001,22.870001,22.92,12.071408,0,-0.134279413,0.002945657,-0.13722507
9/1/2001,22.74,22.74,18.799999,20.040001,10.554584,0,0.026103224,0.002804397,0.023298827
10/1/2001,19.85,21.02,19.85,20.57,10.83372,0,0.057617497,0.001998003,0.055619494
11/1/2001,20.690001,22.07,20.690001,21.790001,11.476265,0,0.012767881,0.001706876,0.011061005
12/1/2001,21.66,22.610001,21.66,22.07,11.623732,0,-0.013882017,0.001482234,-0.015364251
1/1/2002,22.120001,22.66,21.27,21.48,11.463486,0,0.018907851,0.00144895,0.017458901
2/1/2002,21.49,21.889999,21.02,21.889999,11.682298,0,0.052503103,0.001465592,0.051037511
3/1/2002,22.16,23.41,22.16,23.07,12.312042,0,0.015911107,0.001490555,0.014420552
4/1/2002,23.1,23.639999,22.709999,23.440001,12.509507,0,0.019852381,0.001490555,0.018361826
5/1/2002,23.59,24.200001,23.389999,23.91,12.760332,0,-0.05193161,0.001473913,-0.053405523
6/1/2002,23.860001,23.860001,21.940001,22.700001,12.11458,0,-0.096588507,0.00144895,-0.098037457
7/1/2002,22.719999,23,19.809999,20.610001,10.999185,0,-0.019104278,0.001415664,-0.020519942
8/1/2002,20.18,20.92,19.450001,20.219999,10.791048,0,-0.115745159,0.001423986,-0.117169145
9/1/2002,19.52,20.07,17.74,18.01,9.61161,0,0.049292654,0.001407343,0.047885311
10/1/2002,18.35,18.940001,17.059999,18.92,10.097263,0,0.032755469,0.001307478,0.031447991
11/1/2002,18.83,19.67,18.790001,19.549999,10.43348,0,-0.037523653,0.001199281,-0.038722934
12/1/2002,19.889999,19.889999,18.469999,18.83,10.049232,0,-0.025882491,0.00101615,-0.026898641
1/1/2003,19.190001,19.48,17.98,18.07,9.79247,0,-0.026353913,0.00101615,-0.027370063
2/1/2003,18.35,18.35,17.32,17.6,9.537771,0,-0.032335756,0.00098285,-0.033318606
3/1/2003,17.75,17.92,16.299999,17.040001,9.234293,0,0.091354404,0.0009995,0.090354904
4/1/2003,17.120001,18.67,17.120001,18.67,10.11762,0,0.057753496,0.000949549,0.056803947
5/1/2003,18.73,19.870001,18.73,19.780001,10.719151,0,0.039648321,0.000941224,0.038707097
6/1/2003,20.18,21.57,20.08,20.58,11.152685,0,0.061253484,0.000924572,0.060328912
7/1/2003,20.549999,22.139999,20.549999,21.879999,11.857182,0,0.024826346,0.000749719,0.024076627
8/1/2003,21.85,22.450001,21.52,22.43,12.155237,0,0.012846048,0.00079968,0.012046368
9/1/2003,22.700001,23.57,22.700001,22.719999,12.312391,0,0.077059004,0.000816333,0.076242671
10/1/2003,23.059999,24.709999,23.059999,24.540001,13.298685,0,0.020170007,0.000791353,0.019378654
11/1/2003,24.719999,25.09,24.35,25.040001,13.569643,0,0.046810321,0.00079968,0.046010641
12/1/2003,25.389999,26.24,25.110001,26.24,14.219944,0,0.043532882,0.0007747,0.042758182
1/1/2004,26.610001,27.690001,26.610001,26.91,14.852651,0,0.020960658,0.000791353,0.020169305
2/1/2004,26.9,28.08,26.709999,27.48,15.167258,0,-0.005107813,0.000766373,-0.005874186
3/1/2004,27.809999,27.85,26.389999,27.34,15.089984,0,-0.024811328,0.00079968,-0.025611008
4/1/2004,27.639999,27.84,26.67,26.67,14.720188,0,0.003742465,0.000791353,0.002951112
5/1/2004,26.629999,27.209999,24.98,26.77,14.775381,0,0.021434866,0.000816333,0.020618533
6/1/2004,26.700001,27.530001,26.540001,27.35,15.095508,0,-0.030063576,0.000899595,-0.030963171
7/1/2004,27.299999,27.299999,26.129999,26.540001,14.648437,0,0.01347321,0.00110772,0.01236549
8/1/2004,26.48,26.940001,26.129999,26.9,14.847134,0,0.031469801,0.001207604,0.030262197
9/1/2004,27.139999,27.84,27.139999,27.76,15.3218,0,0.021383833,0.001324123,0.02005971
10/1/2004,28.129999,28.5,27.85,28.360001,15.652967,0,0.062530989,0.001423986,0.061107003
11/1/2004,28.51,30.290001,28.51,30.190001,16.663013,0,0.024215536,0.001590401,0.022625135
12/1/2004,30.389999,30.93,29.85,30.93,17.071442,0,0.004461769,0.001856609,0.00260516
1/1/2005,30.809999,30.809999,29.91,30.58,17.147781,0,0.052551275,0.001848291,0.050702984
2/1/2005,30.6,32.23,30.6,32.23,18.073017,0,-0.032479491,0.002089482,-0.034568973
3/1/2005,32.349998,32.619999,30.83,31.200001,17.495445,0,-0.023675294,0.002297359,-0.025972653
4/1/2005,31.23,31.610001,30.1,30.469999,17.0861,0,0.004910638,0.002322301,0.002588337
5/1/2005,30.48,31.129999,30.280001,30.620001,17.17021,0,0.010396485,0.002413751,0.007982734
6/1/2005,30.85,31.459999,30.76,30.940001,17.349651,0,0.041777953,0.002488568,0.039289385
7/1/2005,31,32.259998,30.790001,32.259998,18.089838,0,0.029926095,0.002604938,0.027321157
8/1/2005,32.549999,33.689999,32.549999,33.240002,18.639378,0,0.040966414,0.002845946,0.038120468
9/1/2005,33.709999,34.68,33.709999,34.630001,19.418823,0,-0.039162884,0.00292904,-0.042091924
10/1/2005,34.490002,34.490002,32.369999,33.299999,18.673025,0,0.03569162,0.002953966,0.032737654
